gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
rock,0.450143,0.761983,-0.000000,0.396084,0.658049,-0.039923,0.401262,0.523246,-0.053803,0.430030,0.395997,-0.065062,0.407266,0.309263,-0.074371,0.443357,0.421401,-0.007891,0.461833,0.270146,-0.028876,0.470012,0.169573,-0.051039,0.485701,0.081233,-0.066845,0.510215,0.455691,-0.000363,0.556325,0.385245,-0.035105,0.508709,0.485335,-0.058646,0.479902,0.531694,-0.066609,0.567494,0.494195,0.001133,0.617720,0.439550,-0.036042,0.551364,0.537257,-0.056595,0.510336,0.593629,-0.060375,0.621069,0.532185,-0.001594,0.687899,0.454895,-0.025973,0.729263,0.410868,-0.043812,0.771167,0.356517,-0.052642
rock,0.417653,0.733058,-0.000000,0.366808,0.631327,-0.031293,0.371535,0.494271,-0.045241,0.394058,0.377298,-0.059219,0.356778,0.301184,-0.071604,0.419433,0.393667,-0.004255,0.442548,0.247854,-0.027803,0.453591,0.148945,-0.052615,0.470454,0.061645,-0.070105,0.482435,0.429662,-0.002892,0.526444,0.371845,-0.039482,0.479611,0.473729,-0.063695,0.451133,0.529991,-0.072282,0.538544,0.470151,-0.006911,0.581147,0.429828,-0.042294,0.514072,0.527048,-0.059000,0.473474,0.584499,-0.061326,0.591414,0.510651,-0.015208,0.654450,0.434385,-0.037810,0.697973,0.387221,-0.052385,0.743694,0.330699,-0.059360
rock,0.430498,0.646874,-0.000000,0.373117,0.549727,-0.013597,0.353688,0.437884,-0.018967,0.350745,0.344449,-0.026033,0.313871,0.269221,-0.031358,0.410180,0.349470,0.013584,0.422282,0.241449,0.001257,0.428820,0.172923,-0.011361,0.436958,0.115227,-0.019244,0.463265,0.376362,0.011622,0.461707,0.312945,-0.011745,0.432696,0.382439,-0.024898,0.419886,0.428049,-0.025809,0.504704,0.407020,0.005999,0.504905,0.351738,-0.016148,0.468941,0.422065,-0.022437,0.453465,0.467098,-0.018499,0.548867,0.439097,-0.002307,0.573855,0.367469,-0.014453,0.586434,0.328170,-0.019855,0.603801,0.281974,-0.019767
rock,0.469865,0.673237,-0.000000,0.421554,0.578445,-0.011980,0.395577,0.472807,-0.016807,0.387396,0.383401,-0.023670,0.349770,0.310515,-0.028959,0.439001,0.385556,0.013505,0.446067,0.281003,0.001863,0.449866,0.219660,-0.009514,0.456205,0.168158,-0.016589,0.489677,0.407038,0.010598,0.492555,0.347267,-0.011649,0.469828,0.417651,-0.023512,0.460420,0.462087,-0.024032,0.528995,0.433671,0.004207,0.535789,0.378932,-0.016974,0.505898,0.450051,-0.022438,0.492402,0.493463,-0.018462,0.571654,0.465398,-0.004775,0.592633,0.394860,-0.016230,0.605111,0.362096,-0.021092,0.621580,0.323120,-0.020916
rock,0.477116,0.664141,-0.000000,0.428738,0.569382,-0.015292,0.411131,0.452374,-0.020561,0.405628,0.358232,-0.027069,0.361035,0.282903,-0.031766,0.457448,0.368410,0.011389,0.470031,0.255122,-0.000911,0.475090,0.186085,-0.013686,0.482806,0.128271,-0.022006,0.506208,0.394965,0.010253,0.506977,0.339627,-0.012508,0.478221,0.408477,-0.025891,0.466518,0.447421,-0.027564,0.544446,0.424356,0.005520,0.547951,0.378483,-0.015731,0.512147,0.449186,-0.021916,0.498093,0.489353,-0.018607,0.588027,0.454414,-0.002167,0.614790,0.384369,-0.014116,0.630346,0.347621,-0.019545,0.650671,0.300248,-0.019749
rock,0.476877,0.674665,-0.000000,0.427632,0.578038,-0.014498,0.410266,0.462467,-0.019591,0.404017,0.369814,-0.026162,0.363536,0.300676,-0.030938,0.459992,0.383552,0.012312,0.468886,0.271780,0.000034,0.473205,0.204488,-0.012496,0.480755,0.148106,-0.020613,0.508079,0.410274,0.010538,0.504669,0.356117,-0.012208,0.480208,0.425590,-0.025342,0.473585,0.464948,-0.026855,0.545368,0.440623,0.005111,0.545463,0.393985,-0.016288,0.512799,0.465398,-0.022455,0.502086,0.505707,-0.019092,0.587513,0.471968,-0.003233,0.611424,0.403569,-0.014822,0.626923,0.369963,-0.020025,0.649131,0.326615,-0.020191
rock,0.485865,0.685829,-0.000000,0.436366,0.590526,-0.014445,0.416839,0.472423,-0.020809,0.411597,0.379785,-0.029049,0.377592,0.305726,-0.035670,0.471793,0.395920,0.010885,0.483694,0.284503,-0.002635,0.490383,0.217450,-0.016104,0.498364,0.159732,-0.024848,0.520167,0.421758,0.008377,0.519759,0.367245,-0.015911,0.495586,0.438756,-0.029741,0.487623,0.480733,-0.031619,0.558742,0.451852,0.002255,0.559829,0.407588,-0.019622,0.525003,0.478776,-0.025716,0.511415,0.517083,-0.022538,0.602197,0.483485,-0.006854,0.626299,0.412943,-0.018525,0.639737,0.379228,-0.023641,0.659790,0.334742,-0.024002
rock,0.489349,0.656959,-0.000000,0.451946,0.543528,-0.003060,0.456367,0.414436,-0.004723,0.465095,0.313755,-0.010233,0.445267,0.228166,-0.014424,0.538255,0.356555,0.022852,0.564901,0.244473,0.013232,0.572834,0.178599,0.003846,0.579902,0.124686,-0.001747,0.572571,0.381312,0.015663,0.551904,0.309748,-0.004314,0.514592,0.373846,-0.014297,0.503077,0.413766,-0.013401,0.597536,0.410657,0.005480,0.576132,0.341535,-0.013098,0.533341,0.405130,-0.016250,0.524339,0.444171,-0.011185,0.627368,0.446544,-0.006628,0.646700,0.362070,-0.016484,0.652598,0.323193,-0.019443,0.672313,0.280386,-0.017904
rock,0.485957,0.636225,-0.000000,0.439951,0.521322,0.000615,0.442196,0.395366,0.000858,0.451743,0.296643,-0.003763,0.432584,0.215774,-0.006984,0.521668,0.337935,0.031025,0.551270,0.228980,0.023361,0.560265,0.165135,0.014765,0.567920,0.111409,0.009510,0.554758,0.363971,0.022102,0.534113,0.295997,0.002412,0.500971,0.366011,-0.008168,0.493330,0.409060,-0.007069,0.578624,0.394039,0.010381,0.554004,0.328427,-0.008625,0.513536,0.397838,-0.012081,0.506412,0.439607,-0.006442,0.607202,0.431229,-0.002937,0.627385,0.345747,-0.012881,0.632781,0.305362,-0.015768,0.650291,0.260579,-0.013834
rock,0.510184,0.648793,-0.000000,0.569523,0.564208,-0.004557,0.597225,0.448126,-0.009190,0.604342,0.358217,-0.018523,0.630964,0.289755,-0.027509,0.563198,0.368880,0.014607,0.555014,0.250329,0.004660,0.552199,0.182529,-0.004832,0.550675,0.124931,-0.011181,0.514163,0.381688,0.006949,0.491716,0.325371,-0.013649,0.500850,0.399676,-0.024381,0.513781,0.445053,-0.024289,0.464887,0.401410,-0.003116,0.452767,0.348809,-0.022712,0.467537,0.425331,-0.027041,0.484754,0.471351,-0.022867,0.420625,0.423836,-0.014997,0.392426,0.335589,-0.025861,0.382670,0.292628,-0.030113,0.379911,0.244860,-0.030028
