timestamp,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
1780662752527,0.620124,0.714162,-2.29334e-08,0.538006,0.676089,-0.0303874,0.494483,0.606235,-0.0644884,0.471766,0.561957,-0.0860375,0.473083,0.528778,-0.105665,0.527731,0.505549,-0.0938852,0.492409,0.463737,-0.114875,0.466569,0.474961,-0.128776,0.4817,0.503194,-0.146437,0.537154,0.499368,-0.0835974,0.555567,0.475755,-0.126944,0.549395,0.50283,-0.155104,0.558119,0.522154,-0.177554,0.569754,0.494241,-0.0674396,0.593627,0.474926,-0.10985,0.57444,0.506818,-0.155205,0.542223,0.533821,-0.187516,0.605359,0.502919,-0.0481464,0.60235,0.484501,-0.0881607,0.585338,0.500293,-0.123883,0.563167,0.501268,-0.151925
1780662752561,0.619781,0.714561,-2.32936e-08,0.539713,0.68212,-0.0343309,0.496156,0.613344,-0.0707418,0.471114,0.57059,-0.0941768,0.471645,0.539802,-0.115631,0.532029,0.50754,-0.0988507,0.492723,0.473806,-0.122782,0.466411,0.495633,-0.138348,0.48237,0.531276,-0.156892,0.542341,0.501722,-0.0877581,0.554914,0.48786,-0.134441,0.54655,0.526623,-0.164287,0.555069,0.550501,-0.187534,0.574632,0.496583,-0.0711209,0.591833,0.483052,-0.116501,0.570639,0.5229,-0.162761,0.538418,0.554145,-0.195339,0.609117,0.504957,-0.0516486,0.60188,0.490191,-0.0936052,0.584421,0.509907,-0.129933,0.563316,0.513382,-0.158225
1780662752594,0.61841,0.717975,-2.32726e-08,0.533474,0.679905,-0.0359067,0.485315,0.606822,-0.0732242,0.459259,0.561284,-0.0971074,0.457946,0.531747,-0.118934,0.526305,0.500038,-0.102863,0.491992,0.450967,-0.127214,0.464802,0.463462,-0.142758,0.476425,0.493027,-0.16143,0.540195,0.497012,-0.0912418,0.561299,0.469264,-0.138478,0.549491,0.497125,-0.167952,0.553207,0.516175,-0.19099,0.575274,0.495707,-0.0740203,0.597601,0.475964,-0.119637,0.571343,0.509499,-0.16508,0.533274,0.536829,-0.197048,0.611561,0.508517,-0.0541559,0.605203,0.487947,-0.0964474,0.584026,0.505014,-0.132565,0.55935,0.507543,-0.160582
1780662752627,0.612572,0.71311,-2.33509e-08,0.535872,0.682182,-0.0375908,0.491603,0.612812,-0.0762188,0.465877,0.569532,-0.101083,0.465063,0.540483,-0.12384,0.524531,0.507151,-0.106879,0.488442,0.467606,-0.133731,0.461979,0.484072,-0.150495,0.47546,0.515932,-0.169699,0.535778,0.501648,-0.0949826,0.557743,0.480982,-0.144949,0.548581,0.511485,-0.175482,0.55504,0.53031,-0.199076,0.569655,0.497293,-0.0776285,0.593361,0.48091,-0.125931,0.568835,0.515309,-0.172269,0.532698,0.542509,-0.204503,0.605764,0.505804,-0.0575923,0.601198,0.488768,-0.101784,0.580817,0.504365,-0.13883,0.5566,0.504682,-0.167399
1780662752660,0.617197,0.714002,-2.32239e-08,0.538013,0.681688,-0.0365414,0.492536,0.6138,-0.0740239,0.467145,0.571543,-0.0981769,0.465449,0.542755,-0.120233,0.525002,0.506177,-0.101214,0.486628,0.468263,-0.125943,0.458812,0.484396,-0.141908,0.471077,0.515243,-0.160778,0.536778,0.501137,-0.0895845,0.554552,0.483203,-0.137466,0.543754,0.514069,-0.16772,0.548033,0.53298,-0.191129,0.570898,0.496627,-0.0726518,0.591719,0.481498,-0.119736,0.567645,0.516852,-0.1666,0.530453,0.543915,-0.199138,0.607417,0.505018,-0.0529877,0.599363,0.4889,-0.0962591,0.578187,0.504891,-0.133342,0.552066,0.505043,-0.161997
1780662752694,0.617749,0.71651,-2.30618e-08,0.535829,0.685424,-0.0353311,0.489112,0.617221,-0.073004,0.462714,0.574618,-0.0976374,0.459927,0.545675,-0.120206,0.523674,0.509752,-0.101697,0.483931,0.473404,-0.127016,0.457362,0.491665,-0.143218,0.471105,0.523897,-0.162244,0.53664,0.504715,-0.0910674,0.55213,0.488779,-0.139422,0.542299,0.523334,-0.169559,0.547722,0.543507,-0.192976,0.571334,0.500227,-0.0749983,0.590542,0.485438,-0.122258,0.56637,0.522925,-0.168559,0.529338,0.550628,-0.200921,0.60789,0.508608,-0.0561186,0.600476,0.491754,-0.0995435,0.58043,0.509676,-0.136228,0.555497,0.511099,-0.164688
1780662752727,0.618615,0.720825,-2.33338e-08,0.531844,0.684985,-0.0343478,0.48256,0.613316,-0.0708659,0.455281,0.566776,-0.0945482,0.452117,0.535326,-0.116186,0.522068,0.507074,-0.098563,0.483231,0.462699,-0.122295,0.456106,0.475324,-0.1377,0.469347,0.503328,-0.156408,0.538284,0.501486,-0.0881759,0.55393,0.478138,-0.135214,0.541803,0.507844,-0.164967,0.545991,0.525734,-0.188098,0.575192,0.496874,-0.0723417,0.592785,0.477653,-0.118718,0.566134,0.512298,-0.165046,0.528217,0.538687,-0.197352,0.61365,0.50622,-0.053662,0.604553,0.485881,-0.0967449,0.583497,0.501886,-0.133498,0.558735,0.502508,-0.1619
1780662752762,0.616683,0.72156,-2.34688e-08,0.534518,0.684696,-0.0349437,0.486534,0.612738,-0.071381,0.458686,0.565507,-0.094794,0.455138,0.532583,-0.116094,0.522769,0.504612,-0.0988754,0.48001,0.459797,-0.122399,0.45209,0.473164,-0.137506,0.464174,0.503416,-0.15592,0.535861,0.49969,-0.0878617,0.549695,0.473885,-0.134975,0.538058,0.503573,-0.164651,0.541822,0.522708,-0.187516,0.570269,0.495959,-0.0714491,0.586074,0.474545,-0.11799,0.559748,0.508525,-0.164343,0.521884,0.535773,-0.196441,0.606297,0.506805,-0.0521908,0.597203,0.485331,-0.0951537,0.577294,0.501251,-0.131878,0.553096,0.502537,-0.160152
1780662752794,0.615882,0.71648,-2.33451e-08,0.534398,0.685321,-0.0357686,0.488247,0.616454,-0.0729764,0.461521,0.573856,-0.09702,0.458755,0.545179,-0.118929,0.52034,0.505526,-0.0997713,0.481332,0.473356,-0.124478,0.456093,0.492296,-0.140567,0.47108,0.525599,-0.159499,0.533172,0.498735,-0.0885599,0.54792,0.48514,-0.136403,0.537065,0.519815,-0.166858,0.542371,0.539789,-0.190386,0.569134,0.49347,-0.0720671,0.587481,0.479158,-0.119044,0.562043,0.513217,-0.166099,0.524691,0.538851,-0.198895,0.607114,0.502911,-0.0527718,0.601914,0.485091,-0.095953,0.581708,0.50022,-0.132978,0.556157,0.500325,-0.161643
1780662752828,0.611289,0.711408,-2.21987e-08,0.537674,0.678692,-0.0342158,0.497927,0.61148,-0.0713201,0.475065,0.571643,-0.0954928,0.476692,0.545029,-0.117427,0.527356,0.510495,-0.0999677,0.487532,0.48033,-0.125697,0.460321,0.502445,-0.141976,0.472266,0.540935,-0.160667,0.532876,0.507096,-0.0892973,0.550622,0.490038,-0.138917,0.536436,0.524357,-0.170106,0.537345,0.546358,-0.193658,0.561322,0.502071,-0.0730554,0.581717,0.484667,-0.121065,0.550799,0.517588,-0.168057,0.507475,0.544714,-0.200431,0.591096,0.509566,-0.0537988,0.58736,0.489917,-0.0969098,0.563694,0.503656,-0.133473,0.532533,0.504415,-0.161765
